index,articleType,total,percentage,,
3,article-journal,752005608,75.85,,
7,chapter,122562727,12.36,,
22,paper-conference,55706868,5.62,,
8,dataset,17003027,1.72,,
36,reference-entry,8371603,0.84,, 
5,book,7077100,0.71,,
37,journal-issue,6274342,0.63,,
27,report,5843498,0.59,,
43,monograph,3970516,0.4,,
42,other,3507453,0.35,,
39,dissertation,2597706,0.26,,
41,standard,2397654,0.24,,
38,reference-book,2063251,0.21,,
40,posted-content,1011099,0.1,,
46,journal,306900,0.03,,
47,proceedings,196686,0.02,,
45,peer-review,184286,0.02,,
49,report-series,126501,0.01,,
44,book-part,106274,0.01,,
50,book-section,51504,0.01,,
48,book-series,20172,0,,
52,journal-volume,12296,0,,
53,proceedings-series,9366,0,,
51,book-set,4663,0,,
,,,,,
,TOTAL,991411100,100,,
