index,citationStyle,total,percentage,notWorkingIndex,notWorkingCitationStyle
0,_the-open-university-numeric-superscript,633996,0.064,520,gost-r-7-0-5-2008-numeric
1,_the-open-university-numeric,633996,0.064,724,iso690-note-cs
2,academy-of-management-review,633996,0.064,1475,university-of-south-australia-harvard-2011
3,accident-analysis-and-prevention,633996,0.064,1476,university-of-south-australia-harvard-2013
4,acm-sig-proceedings,633996,0.064,,
5,acm-sigchi-proceedings-extended-abstract-format,633996,0.064,,
6,acta-amazonica,633996,0.064,,
7,acta-anaesthesiologica-scandinavica,633996,0.064,,
8,acta-anaesthesiologica-taiwanica,633996,0.064,,
9,acta-pharmaceutica-sinica-b,633996,0.064,,
10,acta-pharmaceutica,633996,0.064,,
11,acta-psychiatrica-scandinavica,633996,0.064,,
12,acta-scientiae-veterinariae,633996,0.064,,
13,acta-universitatis-agriculturae-et-silviculturae-mendelianae-brunensis,633996,0.064,,
14,addiction-biology,633996,0.064,,
15,administrative-science-quarterly,633996,0.064,,
16,advanced-functional-materials,633996,0.064,,
17,advances-in-complex-systems,633996,0.064,,
18,aerosol-science-and-technology,633996,0.064,,
19,african-online-scientific-information-systems-harvard,633996,0.064,,
20,ageing-and-society,633996,0.064,,
21,aging,633996,0.064,,
22,allergology-international,633996,0.064,,
23,ambio,633996,0.064,,
24,american-association-for-cancer-research,633996,0.064,,
25,american-association-of-petroleum-geologists,633996,0.064,,
26,american-chemical-society,633996,0.064,,
27,american-geophysical-union,633996,0.064,,
28,american-journal-of-archaeology,633996,0.064,,
29,american-journal-of-medical-genetics,633996,0.064,,
30,american-journal-of-orthodontics-and-dentofacial-orthopedics,633996,0.064,,
31,american-journal-of-political-science,633996,0.064,,
32,american-journal-of-science,633996,0.064,,
33,american-journal-of-translational-research,633996,0.064,,
34,american-marketing-association,633996,0.064,,
35,american-medical-association-alphabetical,633996,0.064,,
36,american-meteorological-society,633996,0.064,,
37,american-physics-society,633996,0.064,,
38,american-physiological-society,633996,0.064,,
39,american-phytopathological-society,633996,0.064,,
40,american-political-science-association,633996,0.064,,
41,american-society-for-microbiology,633996,0.064,,
42,american-society-for-pharmacology-and-experimental-therapeutics,633996,0.064,,
43,american-society-of-agricultural-and-biological-engineers,633996,0.064,,
44,american-society-of-civil-engineers,633996,0.064,,
45,american-society-of-mechanical-engineers,633996,0.064,,
