index,articleType,
0,article,
1,article-magazine,
2,article-newspaper,
3,article-journal,
4,bill,
5,book,
6,broadcast,
7,chapter,
8,dataset,
9,entry,
10,entry-dictionary,
11,entry-encyclopedia,
12,figure,
13,graphic,
14,interview,
15,legislation,
16,legal_case,
17,manuscript,
18,map,
19,motion_picture,
20,musical_score,
21,pamphlet,
22,paper-conference,
23,patent,
24,post,
25,post-weblog,
26,personal_communication,
27,report,
28,review,
29,review-book,
30,song,
31,speech,
32,thesis,
33,treaty,
34,webpage,
35,proceedings-article,
36,reference-entry,
37,journal-issue,
38,reference-book,
39,dissertation,
40,posted-content,
41,standard,
42,other,
43,monograph,
44,book-part,
45,peer-review,
46,journal,
47,proceedings,
48,book-series,
49,report-series,
50,book-section,
51,book-set,
52,journal-volume,
53,proceedings-series,
