index,citationStyle
0,_the-open-university-numeric-superscript
1,_the-open-university-numeric
2,academy-of-management-review
3,accident-analysis-and-prevention
4,acm-sig-proceedings
5,acm-sigchi-proceedings-extended-abstract-format
6,acta-amazonica
7,acta-anaesthesiologica-scandinavica
8,acta-anaesthesiologica-taiwanica
9,acta-pharmaceutica-sinica-b
10,acta-pharmaceutica
11,acta-psychiatrica-scandinavica
12,acta-scientiae-veterinariae
13,acta-universitatis-agriculturae-et-silviculturae-mendelianae-brunensis
14,addiction-biology
15,administrative-science-quarterly
16,advanced-functional-materials
17,advances-in-complex-systems
18,aerosol-science-and-technology
19,african-online-scientific-information-systems-harvard
20,ageing-and-society
21,aging
22,allergology-international
23,ambio
24,american-association-for-cancer-research
25,american-association-of-petroleum-geologists
26,american-chemical-society
27,american-geophysical-union
28,american-journal-of-archaeology
29,american-journal-of-medical-genetics
30,american-journal-of-orthodontics-and-dentofacial-orthopedics
31,american-journal-of-political-science
32,american-journal-of-science
33,american-journal-of-translational-research
34,american-marketing-association
35,american-medical-association-alphabetical
36,american-meteorological-society
37,american-physics-society
38,american-physiological-society
39,american-phytopathological-society
40,american-political-science-association
41,american-society-for-microbiology
42,american-society-for-pharmacology-and-experimental-therapeutics
43,american-society-of-agricultural-and-biological-engineers
44,american-society-of-civil-engineers
45,american-society-of-mechanical-engineers
46,american-sociological-association
47,american-statistical-association
48,american-veterinary-medical-association
49,amphibia-reptilia
50,anabases
51,anaesthesia
52,analytical-sciences
53,anesthesia-and-analgesia
54,anesthesiology
55,angewandte-chemie
56,angiologia
57,animal-conservation
58,animal-migration
59,animal
60,annalen-des-naturhistorischen-museums-in-wien
61,annals-of-applied-biology
62,annals-of-behavioral-medicine
63,annals-of-biomedical-engineering
64,annals-of-botany
65,annals-of-joint
66,annals-of-neurology
67,annals-of-oncology
68,annals-of-surgery
69,annals-of-the-association-of-american-geographers
70,annals-of-the-new-york-academy-of-sciences
71,annual-review-of-astronomy-and-astrophysics
72,annual-review-of-medicine
73,annual-review-of-nuclear-and-particle-science
74,annual-reviews-alphabetical
75,annual-reviews-author-date
76,annual-reviews-without-titles
77,annual-reviews
78,antarctic-science
79,anthropologie-et-societes
80,anticancer-research
81,antiquity
82,apa-5th-edition
83,apa-annotated-bibliography
84,apa-cv
85,apa-fr-provost
86,apa-no-ampersand
87,apa-no-doi-no-issue
88,apa-old-doi-prefix
89,apa-single-spaced
90,apa-tr
91,apa
92,applied-in-vitro-toxicology
93,applied-spectroscopy-reviews
94,applied-spectroscopy
95,aquatic-conservation
96,aquatic-invasions
97,aquatic-living-resources
98,aquitania
99,arachne
100,arachnology
101,archaeometry
102,archeologia-classica
103,archeologie-medievale
104,archeologies-et-sciences-de-lantiquite
105,archiv-fur-die-civilistische-praxis
106,archiv-fur-geschichte-der-philosophie
107,archives-of-physical-medicine-and-rehabilitation
108,archivos-de-bronconeumologia
109,archivos-de-la-sociedad-espanola-de-oftalmologia
110,arctic-antarctic-and-alpine-research
111,arhiv-za-higijenu-rada-i-toksikologiju
112,artery-research
113,arthritis-and-rheumatism
114,arts-university-bournemouth
115,arzneimitteltherapie
116,asa-cssa-sssa
117,asaio-journal
118,asia-and-the-pacific-policy-studies
119,asia-pacific-journal-of-human-resources
120,asian-journal-of-neurosurgery
121,asian-studies-review
122,assay-and-drug-development-technologies
123,associacao-brasileira-de-normas-tecnicas-eceme
124,associacao-brasileira-de-normas-tecnicas-instituto-meira-mattos
125,associacao-brasileira-de-normas-tecnicas-ipea
126,associacao-brasileira-de-normas-tecnicas-note
127,associacao-brasileira-de-normas-tecnicas-ufmg-face-full
128,associacao-brasileira-de-normas-tecnicas-ufmg-face-initials
129,associacao-brasileira-de-normas-tecnicas-ufpr
130,associacao-brasileira-de-normas-tecnicas-ufrgs-initials
131,associacao-brasileira-de-normas-tecnicas-ufrgs
132,associacao-brasileira-de-normas-tecnicas-ufs
133,associacao-brasileira-de-normas-tecnicas-usp-fmvz
134,associacao-brasileira-de-normas-tecnicas
135,associacao-nacional-de-pesquisa-e-ensino-em-transportes
136,association-de-science-regionale-de-langue-francaise
137,association-for-computational-linguistics
138,association-for-computing-machinery
139,atlas-of-genetics-and-cytogenetics-in-oncology-and-haematology
140,austral-ecology
141,australian-critical-care
142,australian-guide-to-legal-citation
143,australian-journal-of-earth-sciences
144,australian-journal-of-grape-and-wine-research
145,australian-veterinary-journal
146,austrian-legal
147,avian-diseases
148,avian-pathology
149,aviation-space-and-environmental-medicine
150,babes-bolyai-university-faculty-of-orthodox-theology
151,baghdad-science-journal
152,behaviour
153,beltz-padagogik
154,bioarchaeology-international
155,bioarchaeology-of-the-near-east
156,biochemical-journal
157,biochemical-society-transactions
158,biochemistry-and-molecular-biology-education
159,biochemistry
160,biochimica-et-biophysica-acta
161,bioelectromagnetics
162,bioessays
163,bioinformatics
164,biologia
165,biological-and-pharmaceutical-bulletin
166,biological-journal-of-the-linnean-society
167,biological-psychiatry
168,biological-reviews
169,biology-of-reproduction
170,biomed-central
171,biomed-research-international
172,biometrics
173,biophysical-journal
174,biopolymers
175,bioresources
176,biosocieties
177,biota-neotropica
178,biotechniques
179,biotechnology-and-bioengineering
180,biotropica
181,biuletyn-polskiego-towarzystwa-jezykoznawczego
182,blood
183,bmj
184,body-and-society
185,boletin-de-pediatria
186,boreal-environment-research
187,brachytherapy
188,brain-behavior-and-evolution
189,brain
190,brazilian-journal-of-infectious-diseases
191,brewingscience
192,briefings-in-bioinformatics
193,british-journal-of-anaesthesia
194,british-journal-of-cancer
195,british-journal-of-dermatology
196,british-journal-of-haematology
197,british-journal-of-industrial-relations
198,british-journal-of-pharmacology
199,british-journal-of-political-science
200,british-journal-of-surgery
201,budownictwo-i-architektura-pl
202,building-structure
203,bulletin-de-correspondance-hellenique
204,bulletin-de-la-societe-entomologique-de-france
205,bulletin-of-marine-science
206,bulletin-of-the-american-schools-of-oriental-research
207,business-ethics-a-european-review
208,byzantina-symmeikta
209,cahiers-d-ethnomusicologie
210,cahiers-du-centre-gustave-glotz
211,california-agriculture
212,cambridge-journal-of-economics
213,cambridge-university-press-author-date
214,cambridge-university-press-law-note
215,cambridge-university-press-note
216,cambridge-university-press-numeric
217,campus-adventiste-du-saleve-faculte-adventiste-de-theologie
218,canadian-journal-of-chemistry
219,canadian-journal-of-dietetic-practice-and-research
220,canadian-journal-of-economics
221,canadian-journal-of-physics
222,canadian-journal-of-public-health
223,canadian-public-policy
224,cancer-translational-medicine
225,carcinogenesis
226,cardiff-university-vancouver
227,cardiocore
228,cath-lab-digest
229,cell-numeric-superscript
230,cell-numeric
231,cell-research
232,cell-structure-and-function
233,cell-transplantation
234,cell
235,cellular-and-molecular-bioengineering
236,cellular-reprogramming
237,centaurus
238,cerebral-cortex
239,ceska-zemedelska-univerzita-v-praze-fakulta-agrobiologie-potravinovych-a-prirodnich-zdroju
240,changer-d-epoque
241,chemical-and-pharmaceutical-bulletin
242,chemical-biology-and-drug-design
243,chemical-senses
244,chemie-ingenieur-technik
245,chemistry-education-research-and-practice
246,chest
247,chicago-annotated-bibliography
248,chicago-author-date-16th-edition
